subject,all_samples,first_samples,fixation_samples,saccade_samples,blink_samples,mw_samples
s10014,909056,438227,756046,157116,31847,91429
s10052,875520,522127,719027,185373,42152,71809
s10059,1106944,697876,886830,226928,36285,17557
s10073,981248,640200,736810,287929,145721,46117
s10081,845568,412607,671012,189429,37617,34178
s10084,861952,475643,708388,170276,26591,33519
s10085,1065472,546760,886136,190345,24823,33925
s10089,1015040,663300,817172,211217,60801,19797
s10094,949504,675353,749688,218342,45130,4511
s10100,1006592,420376,778923,260551,84449,55582
s10103,896000,586446,745690,161713,30863,5590
s10110,1041664,661796,794506,261843,79018,17568
s10111,944640,399399,798987,170083,29011,52077
s10115,1098752,576492,907767,180475,35610,62481
s10117,1091072,687352,893717,245591,58065,109614
s10121,1336576,850081,1137833,303425,112546,50368
s10125,1350656,881195,1156845,213477,33072,132744
s10138,792064,368798,640496,163573,26085,56710
s10139,1138944,708639,930597,366848,88390,54119
s10141,878336,563311,718045,346157,231794,28255
s10144,1316352,892381,1080047,233126,39904,13390
s10145,707584,331882,599343,157642,6815,32418
s10148,1047808,682101,843668,169784,23373,32343
s10153,1003264,535172,852201,168265,25700,87460
s10156,1048320,560828,879591,178840,29406,66684
s10158,1193728,573117,1036742,158913,24248,73841
s10159,965888,407946,802168,218070,77838,48676
s10160,943104,631237,789472,158008,18332,25176
s10165,670464,439930,529011,153982,29667,58778
s10173,928000,579798,725619,352852,209135,10553
s10177,961024,566028,831184,141136,16705,36158
s10178,1189888,803434,984664,189176,33954,26117
s10180,1314560,531812,1138106,203577,23770,140888
s10181,1179648,300523,1006200,204175,68256,45621
s10183,1610752,1143315,1406795,212706,28759,75143
s10185,1132800,798086,961446,180383,16031,1589
s10186,1207296,770821,967254,304036,81322,32969
s10188,1195776,742302,961621,282771,90571,26897
s10192,1465344,720509,1243220,233688,40985,117846
s10195,1096960,438471,903685,197960,25253,48679
s10196,957952,704065,788704,192951,51660,4825
s10197,1271296,667628,1102186,181679,16739,13707
s10200,1125888,630686,930801,209982,31732,32511
s10202,652288,462964,526457,132240,20393,14802
